centro,municipio,calle,entre_calles,colonia,CP
ELIGE UNA OPCIÓN,ELIGE UNA OPCION,,,,
"ALFONSO MARTÍNEZ
DOMINGUEZ",SABINAS HIDALGO,CALLE MIER Y TERAN No. 1500,ENTRE PABLO LIVAS Y RAUL RANGEL,COL. ALFONSO MARTINEZ DOMINGUEZ,
ALIANZA REAL,ESCOBEDO,CALLE JUAREZ S/N,ENTRE ART. 5 Y CAMINO A SAN MIGUEL,COL. ALIANZA REAL,C.P. 66084
ALIANZA SECTOR Q,MONTERREY,CALLE PRENSISTAS S/N,ESQ. ESTIBADORES ,COL. LA ALIANZA SECTOR Q,C.P. 64103
ALLENDE,ALLENDE,CALLE BERNARDINO CAVAZOS S/N,ESQ. CALLE GARDENIA,COL. LAS BUGAMBILIAS,C.P. 67350
ARBOLEDAS DE LOS NARANJOS (INTERCULTURAL,JUÁREZ,CALLE LOMAS DE FRANCIA S/N,ESQ. CON LOMAS DE MÉXICO Y LOMAS DE ECUADOR,COL. LOS NARANJOS,C.P. 67280
CADEREYTA,CADEREYTA,CALLE JOSE S. VIVANCO S/N,ENTRE GRAL. BONIFACIO SALINAS Y GRAL. ANACLETO GUERRERO,COL. CARLOS SALINAS DE GORTARI,C.P. 67484
CERRALVO,CERRALVO,CALLE GARZA AYALA S/N,,COL. POPULAR 1ER SECTOR,C.P.  S/N
CHINA,CHINA,ALFREDO V. BONFIL S/N,ESQ. CALLE 5 DE MAYO,COL. LA LAGUNA #400,
EL CARMEN,EL CARMEN,CALLE LERDO DE TEJADA S/N,ESQ. CALLE 5 DE MAYO,CABECERA MUNICIPAL,C.P. S/N
EULALIO VILLARREAL,ESCOBEDO,CALLE DR. ARROYO S/N,ENTRE VILLA DE SANTIAGO Y DR. COSS,COL. EULALIO VILLARREAL,C.P. 66065
FERNANDO AMILPA (INTERCULTURAL),ESCOBEDO,CALLE BLAS CHUMACERO S/N,ESQ. CALLE PESQUERIA,COL. FERNANDO AMILPA,C.P. 66052
GALEANA,GALEANA,CALLE 5 DE MAYO 34,,CENTRO DE GALENA,CP 67850
GRAL. TERÁN,GRAL. TERAN,AV. CITRICULTORES S/N,ESQ. CALLE CAPILLA,COL. CITRICULTORES,C.P. 
HÉCTOR CABALLERO (INTERCULTURAL),JUÁREZ,CALLE JAZMIN S/N,ENTRE CALLE COPA DE ORO Y CAMINO A ZIRÁNDARO,COL. HECTOR CABALLERO,C.P. 67275
HIGUERAS,HIGUERAS,CARRETERA ZUAZUA-HIGUERAS S/N,CRUZ CON CARRETERA MARIN- HIGUERAS,COL. RUPERTO MARTINEZ,
INDEPENDENCIA (BICENTENARIO DE LA…),MONTERREY,CALLE JALISCO S/N,ENTRE LAGO DE PÁTZCUARO Y LAGUNA DE SAN MARCOS,COL. TANQUES DE GUADALUPE,C.P. 64720
LA ALIANZA,MONTERREY,AVENIDA SAN BERNABE S/N,ESQ. CALLE MAR DE ARAL,COL. LA ALIANZA,C. P. 64103
LA ERMITA (INTERCULTURAL),SANTA CATARINA,CALLE SAN PATRICIO S/N,ENTRE SAN HERIBERTO Y SAN HUMBERTO,COL. LA ERMITA,C.P. 66129
LAS SABINAS,GUADALUPE,CALLE LA VENTA S/N,ENTRE TULA Y MÉXICO,COL. LAS SABINAS,C.P. 67168
LINARES,LINARES,AV. FRANCISCO VILLA S/N,ENTRE LUCIO BLANCO Y SANTOS DEGOLLADO,EJ. LA PETACA,C.P. S/N
LINARES  LIBERTAD,LINARES,CALLE TATA NACHO,ENTRE EDUARDO ELIZONDO Y ARMANDO MANZANERO,COL. RIVERAS DE SAN ANTONIO,C.P. S/N
LOMAS DE LA FAMA (INTERCULTURAL),SANTA CATARINA,CALLE LOMA DE SANTA CATARINA S/N,ENTRE LOMA GRANDE Y LOMA CHICA,COL. LOMAS DE LA FAMA,C.P. 66119
LOS ENCINOS,JUÁREZ,CALLE PIRUL No. 124,ENTRE AV. LOS ENCINOS Y CALLE MEZQUITE,COL. LOS ENCINOS,C.P. 67275
MONTE KRISTAL,JUÁREZ,AV. MONTE KRISTAL S/N,ESQ. AV. MONTE ROCIO,COL. CERRO DE LA SILLA,C.P. 67280
MONTEMORELOS,MONTEMORELOS,ALFONSO MARTINEZ DOMINGUEZ S/N,ESQ. PLUTARCO ELIAS CALLES,COL. INFONAVIT ANTONIO I. VILLARREAL 1 SECTOR,C.P.  67543.
PESQUERÍA,PESQUERÍA,CALLE JOSÉ LOPEZ PORTILLO S/N,ENTRE BATALLON DE SAN BLAS Y GENERAL GOMEZ,CABECERA MUNICIPAL,C.P 66650
PRADOS DE SANTA ROSA,APODACA,CALLE PIRUL S/N,ENTRE LAUREL Y TRUENO,COL. PRADOS DE SANTA ROSA,C.P. 66610
RENÉ ÁLVAREZ,MONTERREY,CALLE FRIJOL S/N,ESQ. CALLE FEDERAL,COL. RENE ALVAREZ,C.P. 64215
REVOLUCIÓN PROLETARIA,MONTERREY,CALLE PALMA S/N,ESQ. CALLE INSURGENTES,COL. REVOLUCION PROLETARIA,C.P.  S/N
SABINAS HIDALGO,SABINAS HIDALGO,AV. INSURGENTES S/N,ESQ. GASPAR IBARRA,COL. MIGUEL HIDALGO,C.P. S/N
SALINAS VICTORIA,SALINAS VICTORIA,CALLE FRANCISCO VILLA S/N,ENTRE SERAFIN ROBLES Y GRAL. AMADOR SALAZAR,COL. EMILIANO ZAPATA,C.P. S/N
SAN BERNABÉ (MACRO CC CULTURAL Y DEPORTIVO),MONTERREY,APOLO S/N,ESQ. CON PROLONGACIÓN AZTLAN,COL SAN BERNABÉ ,
SAN GILBERTO,SANTA CATARINA,CALLE SAN JUAN DE LOS LAGOS S/N,ESQ. CON SAN MIGUEL DE ALLENDE,COL . SAN GILBERTO,C.P. 66369
SANTA FÉ,APODACA,AVE. DEL TELEFONO S/N,ENTRE ALBUQUERQUE Y URUGUAYOS,COL. SANTA FE,C.P. S/N
SANTIAGO,SANTIAGO,CALLE CENTRAL S/N,ENTRE HIDALGO Y MEXICO,CONGREGACION SAN PEDRO,C.P. S/N
SIERRA VENTANA,MONTERREY,CALLE 21 DE MARZO No. 2330,ENTRE 1 DE ENERO Y JOSEFA ORTIZ DE DOMINGUEZ,COL. SIERRA VENTANA,C.P. 64780
TIERRA PROPIA,GUADALUPE,CALLE ACATIL S/N,ESQ. CON TEQUILA,COL. TIERRA PROPIA,C.P. 67197
UNIDAD PILOTO,GUADALUPE,CALLE MARIANO ESCOBEDO S/N,ENTRE FRANCISCO SARABIA Y CALLE HUMBERTO CERVANTES VEGA,COL. UNIDAD PILOTO,C.P.
VALLE DE LA ESPERANZA (INTERCULTURAL),MONTERREY,CALLE PARQUE TARAHUMARA S/N,ENTRE TRIGAL Y PRADERA,COL. VALLE DE LA ESPERANZA,C.P. 64103
VALLE SOLEADO,GUADALUPE,CALLE VALLE DE COLIBRI S/N,ESQ. CALLE VALLE VEGA,COL. VALLE SOLEADO,C.P. 67130
ZUAZUA,GRAL. ZUAZUA,AV. REFORMA S/N,ENTRE AV. REAL DE PALMAS Y PASEO DE LAS PALMAS,,
